ranking_posicion;empresa;nit;departamento;ciudad;contacto;email;telefono;modalidad;vacantes;postulados;competencia_ratio;cat_badge;puntaje_exito;escalabilidad_score;reputacion_rating;apoyo_sostenimiento;salario_egresado_jr;techo_salarial_5anios;fecha_cierre
11;MVM INGENIERIA DEL SOFTWARE S.A.S.;811003890;Antioquia;Apartado;Melisa Salazar;seleccion@globalmvm.com;3184095193;Presencial / No especificado;3;18;6.0;Tier 1 · Élite Software & Tech;97;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);03/11/2026
12;MVM INGENIERIA DEL SOFTWARE S.A.S.;811003890;Antioquia;Envigado;Melisa Salazar;seleccion@globalmvm.com;3184095193;Presencial / No especificado;3;18;6.0;Tier 1 · Élite Software & Tech;97;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);03/11/2026
13;MVM INGENIERIA DEL SOFTWARE S.A.S.;811003890;Caldas;Manizales;Melisa Salazar;seleccion@globalmvm.com;3184095193;Presencial / No especificado;3;20;6.67;Tier 1 · Élite Software & Tech;97;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);03/11/2026
14;PROFESSIONAL CONSULTING SERVICES S.A.S.;900882909;Huila;Neiva;Andres Felipe Navarro;recursos.humanos@inmigracionaldia.com;3144494917;Presencial / No especificado;3;14;4.67;Tier 1 · Élite Software & Tech;95;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
15;RSM COLOMBIA BPO & CONSULTING SAS - RSM BPO;900666572;Bogota D.C.;Bogota D. C.;Daniela Alejandra Martinez;alejandra.martinez@rsmco.co;3178260855;Presencial / No especificado;1;5;5.0;Tier 1 · Élite Software & Tech;95;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
16;SOLUCIONES WIGA S.A.S;900525588;Antioquia;Rionegro;Paula Pinzón;paula.pinzon@ghtcorp.com;3138663562;Presencial / No especificado;1;6;6.0;Tier 1 · Élite Software & Tech;95;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);11/09/2026
17;DIGITAL SOLUTIONS FOR BUSINESS S A S;900965503;Bogota D.C.;Bogota D. C.;IVONNE GARZON;ivonne.garzon@ds4business.com;3147990705;Presencial / No especificado;1;3;3.0;Tier 1 · Élite Software & Tech;94;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
18;HIBERUS DIGITAL COLOMBIA S.A.S;901019706;Bogota D.C.;Bogota D. C.;Mariana Florido;mflorido@hiberus.com;0000;Presencial / No especificado;1;5;5.0;Tier 1 · Élite Software & Tech;94;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
19;POSICION DIGITAL S.A.S.;900346202;Antioquia;Medellin;Ana Noreña;ana.norena@dentsu.com;3;Presencial / No especificado;1;8;8.0;Tier 1 · Élite Software & Tech;94;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
20;ARQUITECSOFT S.A.S.;900214463;Valle;Cali;Astrid Veronica Calle Caicedo;veronicacc@arqs.co;3797724;Presencial / No especificado;3;31;10.33;Tier 1 · Élite Software & Tech;94;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);27/08/2026
21;ASISTE MAS SAS;901212388;Bogota D.C.;Bogota D. C.;PATRICIA DOMINGUEZ;gestionhumana@asiste-mas.com;3222230426;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;93;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);19/09/2026
22;AVAL SOLUCIONES DIGITALES SA;901140552;Bogota D.C.;Bogota D. C.;Santiago Muñoz Hernandez;convocatorias@dale.com.co;3183611907;Presencial / No especificado;1;9;9.0;Tier 1 · Élite Software & Tech;92;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/10/2026
23;ORGANIZACIÓN DE ALTA TECNOLOGÍA S.A.S.;900743259;Risaralda;Pereira;MARIA ALEJANDRA TRUJILLO GALLO;coordinaciongestionhumana@clinicaoat.com;3012542413;Presencial / No especificado;1;10;10.0;Tier 1 · Élite Software & Tech;92;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
24;MASIVIAN SAS;901034523;Cundinamarca;Facatativa;Paula Martinez;paula.martinez@masiv.com;310;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;92;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/10/2026
25;LABORATORIOS OSA S.A.S;900330855;Valle;Yumbo;Johanna Isabel Huertas;seleccion.bienestar@laboratoriososa.com.co;3102423007;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);11/11/2026
26;TANQUES DEL NORDESTE S.A.;800092024;Antioquia;Itagui;MANUELA TABORDA;gestion.humana@tanquesdelnordeste.com;3105397600;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
27;PRIMAX COLOMBIA S.A. - PRIMAX COLOMBIA;860002554;Tolima;Coello;Natalia Pavajeau;npavajeau@primax.com;3043847339;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);24/09/2026
28;INGENIERIA Y DISEÑO INGEDISA S A;830023758;Bogota D.C.;Bogota D. C.;Paola Palacio;seleccion@ingedisa.com;3007725510;Presencial;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
29;UNIVERSIDAD COOPERATIVA DE COLOMBIA;860029924;Tolima;Ibague;CAMILA;maria.beltranme@ucc.educ.o;3154526648;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);04/09/2026
30;INDUSTRIAS ECTRICOL SAS;800154428;Bogota D.C.;Bogota D. C.;Lina Ma Diaz Borja;ldiaz@ectricol.com;3105642110;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
31;MASIVIAN SAS;901034523;Bogota D.C.;Bogota D. C.;Paula Martinez;paula.martinez@masiv.com;310;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/10/2026
32;MASIVIAN SAS;901034523;Antioquia;Medellin;Paula Martinez;paula.martinez@masiv.com;310;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;90;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/10/2026
33;AGESO S.A.S. ASESORIAS EN GERENCIA Y SALUD OCUPACIONAL;807001777;Norte De Santander;Los Patios;VANESSA OSPINA;jefeadministrativo@ageso.co;5748874;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;89;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
34;VC@SOFT S A S;830086348;Boyaca;Boyaca;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;0;0.0;Tier 2 · Sistemas Corporativos & Alta Escala;89;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
35;BANCO DE LAS MICROFINANZAS BANCAMIA S A;900215071;Sucre;Sincelejo;Lina Martin;lina.martin@bancamia.com.co;3213929026;Presencial / No especificado;30;15;0.5;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);11/09/2026
36;BANCO DE LAS MICROFINANZAS BANCAMIA S A;900215071;Antioquia;Rionegro;Lina Martin;lina.martin@bancamia.com.co;3213929026;Presencial / No especificado;30;27;0.9;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);11/09/2026
37;GRUPO MEDIR ING SAS;900669602;Bogota D.C.;Bogota D. C.;Cristian Camilo Nieto;aux.talentohumano@medinayrivera.com.co;3242153897;Presencial / No especificado;2;2;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
38;CAMBIO COMUNICACIONES COLOMBIA S.A.S.;901535489;Bogota D.C.;Bogota D. C.;ALEXANDRA PEÑA;operaciones@cambiocolombia.com;3204836442;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
39;RAPPI S.A.S.;900843898;Atlantico;Barranquilla;Sofia Hoyos;sofia.hoyos@rappi.com;3127493439;Presencial / No especificado;6;6;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);28/08/2026
40;KAESER COMPRESORES DE COLOMBIA S.A.S;830067414;Cundinamarca;Tenjo;Sol Rodriguez;sol.rodriguez@kaeser.com;3233228993;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
41;RECUPERACIONES NARANJO RECYCLING SAS;806011019;Valle;Yumbo;OLGA MORENO;recursoshumanos@recuperacionesnaranjo.com;3146905698;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
42;NESTOR ROLANDO AVILA SANCHEZ;1057214047;Boyaca;Villa De Leyva;ROLANDO AVILA;rolagrovilladeleiva@gmail.com;3203402317;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);27/08/2026
43;NESTOR ROLANDO AVILA SANCHEZ;1057214047;Boyaca;Tinjaca;ROLANDO AVILA;rolagrovilladeleiva@gmail.com;3203402317;Presencial / No especificado;1;1;1.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);27/08/2026
44;LOGISTICA FERRETERA S.A.S.;900236553;Bogota D.C.;Bogota D. C.;Daniel Bayona;daniel.bayona@logiser.com.co;3105742117;Presencial / No especificado;3;4;1.33;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);25/09/2026
45;CEMEX COLOMBIA S.A.;860002523;Cundinamarca;Sibate;Maria Camila Arias;maria.arias@ext.cemex.com;3223792449;Presencial / No especificado;3;4;1.33;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
46;TONER DEPOT SAS;900503695;Huila;Garzon;ANDREA DUPUTEL;administrativa@tonerdepot.com.co;3118342090;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);05/09/2026
47;GESTION DE SEGURIDAD ELECTRONICA S.A - GSE SA;900204272;Cundinamarca;Zipaquira;Karen Rodriguez;karenj.rodriguez@gse.com.co;3102067037;Presencial / No especificado;10;20;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);23/09/2026
48;LOPEZ QUINTERO YOBANY ALBERTO;89009237;Bogota D.C.;Bogota D. C.;Sofia Caballero;gestionhumanalopezquintero@gmail.com;3173766883;Remoto;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/10/2026
49;AUXIS COLOMBIA S.A.S;901478699;Bogota D.C.;Bogota D. C.;Xildana Leguizamon;xildana.leguizamoneslava@auxis.com;3017565034;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/10/2026
50;PORTADA INMOBILIARIA S.A.S.;900336513;Antioquia;Medellin;Susana Salazar;gestionhumana@portadainmobiliaria.com;3103488592;Presencial / No especificado;2;5;2.5;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
51;CEMEX COLOMBIA S.A.;860002523;Santander;Floridablanca;Tatiana Nieves;tatiana.nieves@ext.cemex.com;3173676257;Presencial / No especificado;3;8;2.67;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
52;PINTURAS Y DECORACIONES PINTUMAXTER S A S;900327021;Cundinamarca;Madrid;LEIDY CARDENAS;talentohumano@pintumaxter.co;3023417012;Presencial / No especificado;5;14;2.8;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/09/2026
53;NTT DATA COLOMBIA S.A.S.;900128566;Cauca;Popayan;Wilmer Bocanegra;wilmer.camilo.bocanegra.ramirez@emeal.nttdata.com;3176606998;Presencial / No especificado;20;57;2.85;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/12/2026
54;JAZZPLAT COLOMBIA S A S;900483791;Bogota D.C.;Bogota D. C.;Alejandro Sánchez;cristianalejandr.jcol@masorange.es;3105727089;Presencial / No especificado;3;9;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
55;OSC TOP SOLUTIONS GROUP COLOMBIA SAS - OSC TSG COLOMBIA;901247673;Bogota D.C.;Bogota D. C.;Rodrigo Jimenezz;practicante.th@osctopsolutionsgroup.com;313 2258593;Presencial / No especificado;2;6;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
56;LAWYERS ASSOCIATED CORPORATION S A S - LACORP;900827959;Bogota D.C.;Bogota D. C.;SARAH BARON;talentohumano@lacorp.com.co;3174144352;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
57;FEILO SYLVANIA COLOMBIA S.A.S;800127132;Bogota D.C.;Bogota D. C.;JHOANA MONSALVE;jhoana.monsalve@sylvania-lighting.com;3124509707;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
58;PROFITLINE S.A.S;830139404;Bogota D.C.;Bogota D. C.;Angela Forero;aforero@profitline.co;3115113362;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
59;LUM LOGISTIC SAS;901406407;Bogota D.C.;Bogota D. C.;Mafe Avila;maria.avila@lum.com.co;3105543074;Presencial / No especificado;3;12;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
60;SOMO GLOBAL S.A.S.;901357213;Antioquia;Medellin;Paula Rodriguez;paula.rodriguez@ciandt.com;3107926240;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/09/2026
61;GEOCAM INGENIERIA SAS;900156867;Bogota D.C.;Bogota D. C.;EDGAR ENRIQUE LEMOS WILCHES;gestioncontable@geocamingenieria.com;3152819065;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);07/09/2026
62;HACIENDA EL PORTAL SAS;800145761;Antioquia;Medellin;JULIA GUTIERREZ;haciendahse@gmail.com;3156523447;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
63;GESTIONES Y REPRESENTACIONES CHIA SAS - GR CHIA SAS;800119297;Cundinamarca;Chia;Paula Pinzon;paula.pinzon@ghtcorp.com;3138663562;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;88;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);19/09/2026
64;NALSANI S.A.S.;800020706;Bogota D.C.;Bogota D. C.;MARIA AREVALO;maria.arevalo@totto.com;3444660;Presencial / No especificado;3;5;1.67;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
65;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA;860403721;Cundinamarca;Chia;Paola Pastrana;dpastrana.r@udca.edu.co;301364892;Presencial / No especificado;4;7;1.75;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/11/2026
66;MANSAROVAR ENERGY COLOMBIA LTD;800249313;Boyaca;Puerto Boyaca;Andrea Alvarez;andrea_alvarez@mansarovar.com.co;4851212;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
67;VC@SOFT S A S;830086348;Boyaca;Tunja;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
68;VC@SOFT S A S;830086348;Nariño;Pasto;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
69;GEOCOL CONSULTORES S.A.;800172871;Bogota D.C.;Bogota D. C.;OSLER MONROY;osler.monroy@geocol.com.co;2141666;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);04/09/2026
70;AGESO S.A.S. ASESORIAS EN GERENCIA Y SALUD OCUPACIONAL;807001777;Norte De Santander;Villa Del Rosario;VANESSA OSPINA;jefeadminsitrativo@ageso.co;5748874;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
71;PARAMETA SAS;900851203;Bogota D.C.;Bogota D. C.;Johana Castillo;jcastillo@parameta.co;0;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/12/2026
